,number,value,datetime_start,datetime_complete,duration,params_precip_const_1,params_precip_const_2,params_precip_const_3,params_precip_const_4,params_precip_const_5,params_precip_const_6,params_precip_const_7,params_precip_const_8,params_precip_const_9,params_precip_const_10,params_precip_const_11,params_precip_const_12,params_residual_const,state
0,0,24.62067908,39:01.0,39:45.0,0 days 00:00:44.020860,0.18,0.78,0.43,0.29,0.61,0.32,0.01,0.24,0.97,0.68,0.33,0.45,0.47,COMPLETE
1,1,23.85541239,39:45.0,40:24.5,0 days 00:00:39.548879,0.73,0.34,0.99,1,0.86,0.27,0.62,0.68,0.83,0.65,0.98,0.93,0.05,COMPLETE
2,2,26.99369137,40:24.5,41:01.3,0 days 00:00:36.824200,0.36,0.55,0.44,0.06,0.12,0.94,0.57,0.32,0.91,0.37,0.87,0.01,0.15,COMPLETE
3,3,24.01666618,41:01.3,41:59.0,0 days 00:00:57.658342,1,0.67,0.26,0.88,0.58,0.17,0.46,0.74,0.03,0.96,0.41,0.75,0.43,COMPLETE
4,4,24.90627031,41:59.0,43:07.3,0 days 00:01:08.273332,0,0.4,0.28,0.91,0.6,0.38,0.79,0.79,0.53,0.67,0.6,0.01,0.5,COMPLETE
5,5,33.56973079,44:37.3,45:16.5,0 days 00:00:39.236728,0.74,0.98,0.14,0.2,0.08,0.11,0.01,0.85,0.59,0.09,0.66,0.04,0.88,COMPLETE
6,6,32.43020337,45:16.5,46:47.0,0 days 00:01:30.486203,0.37,0.18,0.01,0.37,0.44,0.14,0.43,0.37,0.3,0.5,0.42,0.1,0.94,COMPLETE
7,7,25.2184688,46:47.0,47:38.4,0 days 00:00:51.333722,0.59,0.59,0.98,0.92,0.53,0.14,0.25,0.83,0.62,0.54,0.07,0.02,0.47,COMPLETE
8,8,23.52500951,47:38.4,48:31.7,0 days 00:00:53.336447,0.8,0.55,0.08,0.78,0.3,0.62,0.62,0.75,0.35,0.17,0.3,0.43,0.28,COMPLETE
9,9,24.85642351,48:31.7,49:25.0,0 days 00:00:53.306786,0,1,0.23,0.28,0.91,0.5,0.57,0.35,0.21,0.75,0.22,0.95,0.58,COMPLETE
10,10,24.93451531,49:25.0,50:12.0,0 days 00:00:47.027591,0.9,0.04,0.7,0.59,0.29,0.78,0.94,0.08,0.32,0,0.03,0.39,0.24,COMPLETE
11,11,24.12640564,50:12.0,51:11.5,0 days 00:00:59.419845,0.68,0.36,0.74,0.73,0.92,0.67,0.75,0.6,0.77,0.22,0.96,0.65,0,COMPLETE
12,12,24.22209532,51:11.5,52:08.1,0 days 00:00:56.665487,0.79,0.28,0.99,0.69,0.79,0.62,0.74,0.99,0.75,0.27,0.73,0.33,0.21,COMPLETE
13,13,24.47197106,52:08.1,53:06.8,0 days 00:00:58.718024,0.5,0.46,0.67,0.99,0.26,0.35,0.28,0.58,0.36,0.91,0.23,1,0,COMPLETE
14,14,24.35061049,53:06.8,54:04.5,0 days 00:00:57.631487,0.86,0.21,0.84,0.71,0.76,0.51,0.92,0.65,0.44,0.39,0.8,0.69,0.32,COMPLETE
15,15,28.67652718,54:04.5,54:57.6,0 days 00:00:53.125241,0.6,0.76,0.56,0.81,0.34,0.86,0.64,0.49,0.12,0.82,0.53,0.22,0.67,COMPLETE
16,16,26.24288478,54:57.6,55:35.2,0 days 00:00:37.548872,0.99,0.02,0,0.52,1,0.02,0.34,0.96,0.7,0.54,0.98,0.54,0.11,COMPLETE
17,17,23.74776538,55:35.2,56:03.7,0 days 00:00:28.526437,0.49,0.3,0.56,1,0,0.65,0.66,0.48,0.44,0.21,0.17,0.85,0.35,COMPLETE
18,18,24.11449899,56:03.7,56:51.1,0 days 00:00:47.388289,0.43,0.16,0.53,0.81,0.17,0.76,0.85,0.49,0.43,0.16,0.15,0.84,0.33,COMPLETE
19,19,24.00392938,56:51.1,57:48.7,0 days 00:00:57.635584,0.22,0.48,0.34,0.55,0.02,0.55,0.14,0.04,0.13,0.31,0.31,0.55,0.63,COMPLETE
20,20,27.88109566,57:48.7,58:30.1,0 days 00:00:41.395055,0.56,0.67,0.1,0.65,0.41,0.67,0.7,0.19,0.25,0.07,0.18,0.25,0.74,COMPLETE
21,21,23.15824431,58:30.1,59:08.7,0 days 00:00:38.622773,0.68,0.31,0.86,1,0.19,0.42,0.6,0.68,0.45,0.42,0.34,0.82,0.32,COMPLETE
22,22,23.13908136,59:08.7,00:09.4,0 days 00:01:00.682669,0.67,0.28,0.82,0.82,0.19,0.44,0.51,0.54,0.45,0.39,0.32,0.8,0.35,COMPLETE
23,23,23.51453494,00:09.4,01:15.3,0 days 00:01:05.862030,0.65,0.43,0.84,0.81,0.21,0.41,0.51,0.9,0.52,0.44,0.45,0.78,0.25,COMPLETE
24,24,23.55341312,01:15.3,02:10.4,0 days 00:00:55.103430,0.67,0.11,0.86,0.86,0.17,0.43,0.39,0.9,0.53,0.43,0.52,0.78,0.39,COMPLETE
25,25,24.06256857,02:10.4,03:07.3,0 days 00:00:56.930786,0.64,0.42,0.85,0.62,0.22,0.25,0.53,0.58,0.63,0.45,0.4,0.62,0.2,COMPLETE
26,26,23.88967418,03:07.3,03:46.9,0 days 00:00:39.614174,0.88,0.28,0.79,0.44,0.38,0.46,0.5,0.9,0.49,0.58,0.48,0.85,0.14,COMPLETE
27,27,23.38161735,03:46.9,04:19.0,0 days 00:00:32.114594,0.55,0.24,0.92,0.77,0.11,0.4,0.36,0.67,0.57,0.29,0.6,0.75,0.4,COMPLETE
28,28,25.08286195,04:19.0,05:07.2,0 days 00:00:48.160196,0.31,0.23,0.93,0.89,0.03,0.28,0.18,0.68,0.67,0.34,0.6,0.7,0.55,COMPLETE
29,29,23.40664235,05:07.2,05:46.6,0 days 00:00:39.390626,0.45,0.11,0.65,0.75,0.15,0.56,0.37,0.41,0.39,0.31,0.35,0.61,0.4,COMPLETE
30,30,32.33655795,05:46.6,06:19.9,0 days 00:00:33.306994,0.56,0.11,0.93,0.95,0.07,0.33,0.3,0.27,0.58,0.62,0.58,0.86,0.77,COMPLETE
31,31,23.40546697,06:19.9,07:19.1,0 days 00:00:59.169345,0.41,0.13,0.65,0.75,0.13,0.56,0.38,0.45,0.39,0.34,0.35,0.61,0.41,COMPLETE
32,32,23.36465513,07:19.1,07:57.8,0 days 00:00:38.752308,0.24,0.22,0.76,0.85,0.11,0.43,0.43,0.55,0.26,0.27,0.28,0.73,0.48,COMPLETE
33,33,23.87165804,07:57.8,08:29.4,0 days 00:00:31.577748,0.15,0.34,0.76,0.83,0.08,0.23,0.45,0.55,0.21,0.48,0.27,0.94,0.55,COMPLETE
34,34,24.50452182,08:29.4,09:01.3,0 days 00:00:31.860098,0.27,0.23,0.94,0.96,0.24,0.45,0.54,0.64,0.47,0.25,0.11,0.74,0.45,COMPLETE
35,35,25.20724163,09:01.3,09:51.6,0 days 00:00:50.326250,0.08,0.27,0.9,0.88,0.46,0.37,0.44,0.71,0.91,0.39,0.37,0.8,0.51,COMPLETE
36,36,23.13670981,09:51.6,10:29.1,0 days 00:00:37.495344,0.74,0.36,0.8,0.91,0.34,0.3,0.21,0.54,0.05,0.13,0.69,0.7,0.29,COMPLETE
37,37,24.62747925,10:29.1,11:06.2,0 days 00:00:37.076740,0.78,0.35,0.44,0.03,0.33,0.3,0.05,0.43,0.04,0.12,0.76,0.92,0.31,COMPLETE
38,38,24.21870489,11:06.2,11:47.5,0 days 00:00:41.366027,0.71,0.39,0.61,0.92,0.2,0.2,0.18,0.55,0.09,0.01,0.69,0.49,0.18,COMPLETE
39,39,24.40249819,11:47.5,12:35.7,0 days 00:00:48.133312,0.72,0.52,0.79,0.15,0.37,0.33,0.58,0.77,0,0.17,0.26,0.7,0.08,COMPLETE
40,40,24.80455128,12:35.7,13:46.0,0 days 00:01:10.372493,0.76,0.19,0.72,0.94,0.5,0.08,0.06,0.38,0.27,0.1,0.88,0.91,0.47,COMPLETE
41,41,22.6853216,13:46.1,15:06.3,0 days 00:01:20.281236,0.53,0.33,0.89,0.87,0.1,0.39,0.23,0.53,0.18,0.28,0.66,0.74,0.37,COMPLETE
42,42,22.88568539,15:06.3,15:55.7,0 days 00:00:49.379912,0.83,0.33,0.79,0.87,0.26,0.5,0.22,0.53,0.17,0.23,0.83,0.66,0.36,COMPLETE
43,43,22.69897849,15:55.7,16:38.3,0 days 00:00:42.575124,0.83,0.32,0.8,0.9,0.27,0.48,0.23,0.62,0.17,0.22,0.85,0.56,0.28,COMPLETE
44,44,23.00418437,16:38.3,17:17.3,0 days 00:00:39.023630,0.84,0.38,0.79,0.68,0.29,0.49,0.23,0.62,0.18,0.22,0.82,0.55,0.24,COMPLETE
45,45,23.22422926,17:17.3,18:04.1,0 days 00:00:46.807529,0.93,0.41,0.72,0.67,0.27,0.5,0.22,0.62,0.17,0.05,0.85,0.57,0.24,COMPLETE
46,46,23.37354674,18:04.1,18:56.9,0 days 00:00:52.816341,0.85,0.37,0.99,0.89,0.31,0.6,0.12,0.3,0.07,0.21,0.89,0.48,0.27,COMPLETE
47,47,23.17772854,18:56.9,19:53.1,0 days 00:00:56.168876,0.82,0.58,0.79,0.71,0.65,0.49,0.24,0.82,0.18,0.13,0.66,0.42,0.15,COMPLETE
48,48,23.06535515,19:53.1,20:32.5,0 days 00:00:39.355208,0.95,0.5,0.89,0.61,0.4,0.71,0.29,0.73,0.13,0.17,0.81,0.67,0.28,COMPLETE
49,49,23.37345206,20:32.5,21:09.9,0 days 00:00:37.465707,0.95,0.46,0.89,0.59,0.44,0.7,0.3,0.72,0.17,0.22,0.93,0.65,0.36,COMPLETE
50,50,24.19101755,56:09.2,56:51.5,0 days 00:00:42.232682,1,0.52,0.69,0.55,0.57,0.91,0.11,0.61,0.11,0.16,0.81,0.36,0.06,COMPLETE
51,51,24.37930467,56:51.5,57:24.5,0 days 00:00:33.033212,0.92,0.33,0.96,0.47,0.37,1,0.19,0.5,0.04,0.19,0.74,0.66,0.29,COMPLETE
52,52,23.35440438,57:24.5,58:29.9,0 days 00:01:05.401836,0.83,0.64,0.8,0.79,0.29,0.76,0.29,0.52,0.14,0.04,0.8,0.57,0.22,COMPLETE
53,53,23.19691413,58:29.9,59:07.8,0 days 00:00:37.923317,0.96,0.44,0.6,0.38,0.49,0.37,0.25,0.73,0.07,0.25,0.71,0.53,0.28,COMPLETE
54,54,24.13840481,59:07.8,59:54.9,0 days 00:00:47.053996,0.88,0.49,0.88,0.66,0.41,0.58,0.16,0.59,0.22,0.13,0.84,0.46,0.43,COMPLETE
55,55,23.38706103,59:54.9,00:43.2,0 days 00:00:48.330575,0.75,0.37,0.76,0.91,0.25,0.53,0.33,0.78,0.3,0.25,0.92,0.59,0.36,COMPLETE
56,56,23.34405319,00:43.2,01:41.4,0 days 00:00:58.141535,0.79,0.39,1,0.96,0.35,0.47,0.09,0.46,0.22,0.15,0.76,0.52,0.16,COMPLETE
57,57,24.83547559,01:41.4,02:20.8,0 days 00:00:39.485579,0.83,0.74,0.83,0.86,0.31,0.8,0.22,0.64,0,0.07,0.65,0.68,0.11,COMPLETE
58,58,22.68739772,02:20.9,02:54.9,0 days 00:00:34.079013,0.9,0.56,0.88,0.71,0.42,0.52,0.26,0.58,0.14,0.35,0.99,0.64,0.26,COMPLETE
59,59,24.39556936,02:54.9,03:44.0,0 days 00:00:49.055329,0.9,0.61,0.88,0.6,0.54,0.69,0.01,0.18,0.34,0.31,0.97,0.64,0.23,COMPLETE
60,60,23.02576265,03:44.0,04:20.7,0 days 00:00:36.721615,0.87,0.89,0.96,0.63,0.64,0.61,0.27,0.69,0.15,0.34,0.92,0.51,0.2,COMPLETE
61,61,23.06834445,04:20.7,04:49.2,0 days 00:00:28.525870,0.96,0.89,0.95,0.62,0.41,0.62,0.26,0.69,0.15,0.35,1,0.51,0.19,COMPLETE
62,62,23.02610754,04:49.2,05:26.7,0 days 00:00:37.427814,0.87,0.86,0.91,0.55,0.68,0.54,0.32,0.75,0.1,0.22,0.93,0.42,0.25,COMPLETE
63,63,23.0807144,05:26.7,05:56.9,0 days 00:00:30.249213,0.87,0.91,0.96,0.54,0.66,0.52,0.33,0.65,0.09,0.37,0.93,0.31,0.11,COMPLETE
64,64,35.87139101,05:56.9,06:32.0,0 days 00:00:35.129134,0.8,0.85,0.91,0.71,0.78,0.58,0.14,0.81,0.18,0.3,0.9,0.39,0.99,COMPLETE
65,65,23.84183188,06:32.0,07:11.5,0 days 00:00:39.493698,0.91,0.97,0.83,0.5,0.73,0.64,0.25,0.58,0.28,0.23,0.95,0.58,0.33,COMPLETE
66,66,23.34732549,07:11.5,07:55.2,0 days 00:00:43.634437,0.84,0.8,0.97,0.68,0.71,0.54,0.33,0.85,0.23,0.28,0.85,0.44,0.26,COMPLETE
67,67,24.0242154,07:55.2,08:28.5,0 days 00:00:33.364791,0.61,0.95,0.86,0.64,0.82,0.48,0.4,0.67,0.2,0.2,1,0.4,0.38,COMPLETE
68,68,22.90606618,08:28.5,09:00.8,0 days 00:00:32.271563,0.88,0.69,0.92,0.75,0.61,0.39,0.16,0.5,0.1,0.53,0.77,0.47,0.21,COMPLETE
69,69,23.41396011,09:00.8,09:45.0,0 days 00:00:44.188594,0.71,0.72,0.31,0.76,0.61,0.37,0.17,0.51,0.31,0.52,0.78,0.55,0.2,COMPLETE
70,70,23.2510603,09:45.0,10:16.6,0 days 00:00:31.622248,0.78,0.7,0.76,0.74,0.58,0.4,0.21,0.41,0.24,0.41,0.84,0.47,0.31,COMPLETE
71,71,23.06724026,10:16.6,10:58.7,0 days 00:00:42.023184,0.9,0.78,0.21,0.79,0.63,0.51,0.15,0.61,0.1,0.47,0.9,0.33,0.24,COMPLETE
72,72,22.77132704,10:58.7,11:33.7,0 days 00:00:35.078347,0.87,0.83,0.92,0.7,0.7,0.45,0.27,0.57,0.14,0.6,0.87,0.63,0.17,COMPLETE
73,73,22.69893144,11:33.7,12:07.9,0 days 00:00:34.205189,0.98,0.31,0.86,0.84,0.72,0.45,0.28,0.48,0.15,0.71,0.87,0.63,0.17,COMPLETE
74,74,23.3649078,12:07.9,12:39.2,0 days 00:00:31.249397,1,0.32,0.82,0.83,0.83,0.45,0.08,0.47,0.2,0.75,0.87,0.63,0.13,COMPLETE
75,75,22.84938189,12:39.2,13:16.8,0 days 00:00:37.601787,0.97,0.29,0.49,0.72,0.72,0.4,0.2,0.57,0.13,0.67,0.83,0.6,0.17,COMPLETE
76,76,23.14710492,13:16.8,13:55.4,0 days 00:00:38.642457,0.97,0.18,0.49,0.79,0.73,0.41,0.2,0.57,0.07,0.7,0.77,0.73,0.17,COMPLETE
77,77,23.23945548,13:55.4,14:36.0,0 days 00:00:40.589339,0.94,0.27,0.47,0.85,0.88,0.34,0.13,0.52,0.14,0.59,0.74,0.6,0.03,COMPLETE
78,78,23.50807341,14:36.0,15:45.4,0 days 00:01:09.327832,0.92,0.3,0.55,0.73,0.54,0.38,0.27,0.48,0.02,0.69,0.56,0.77,0.17,COMPLETE
79,79,23.0458455,15:45.4,16:25.6,0 days 00:00:40.252009,0.37,0.55,0.43,0.87,0.7,0.46,0.17,0.37,0.11,0.64,0.78,0.71,0.11,COMPLETE
80,80,23.20075379,16:25.6,18:00.0,0 days 00:01:34.436064,0.98,0.25,0.86,0.83,0.75,0.42,0.36,0.44,0.06,0.83,0.86,0.62,0.03,COMPLETE
81,81,23.13062615,18:00.1,18:41.9,0 days 00:00:41.876659,0.85,0.67,0.35,0.71,0.68,0.48,0.23,0.57,0.18,0.75,0.8,0.55,0.08,COMPLETE
82,82,23.18912347,18:41.9,20:17.5,0 days 00:01:35.560702,0.82,0.3,0.4,0.77,0.79,0.3,0.98,0.53,0.25,0.59,0.83,0.66,0.21,COMPLETE
83,83,22.68820286,20:17.5,21:18.5,0 days 00:01:01.052897,0.9,0.34,0.92,0.7,0.23,0.39,0.19,0.62,0.15,0.72,0.71,0.59,0.32,COMPLETE
84,84,22.9118849,21:18.5,22:13.6,0 days 00:00:55.069566,0.89,0.34,0.93,0.92,0.06,0.35,0.1,0.41,0.15,0.8,0.64,0.64,0.33,COMPLETE
85,85,23.0593191,22:13.6,23:08.6,0 days 00:00:54.998327,0.93,0.2,0.88,0.73,0.23,0.39,0.2,0.56,0.13,0.56,0.88,0.59,0.43,COMPLETE
86,86,24.3798751,23:08.6,25:05.3,0 days 00:01:56.657235,0.98,0.46,0.91,0.97,0.97,0.44,0.31,0.5,0.02,0.72,0.68,0.16,0.29,COMPLETE
87,87,23.50112464,25:05.3,26:38.7,0 days 00:01:33.414097,0.9,0.26,1,0.81,0.14,0.43,0.41,0.6,0.08,0.64,0.74,0.68,0.14,COMPLETE
88,88,22.84334852,26:38.7,27:34.0,0 days 00:00:55.324420,0.77,0.31,0.85,0.89,0.27,0.26,0.28,0.63,0.16,0.61,0.72,0.72,0.38,COMPLETE
89,89,22.90808344,27:34.0,28:26.0,0 days 00:00:52.009953,0.49,0.15,0.73,0.84,0.17,0.22,0.28,0.63,0.2,0.66,0.63,0.76,0.38,COMPLETE
90,90,23.45020467,28:26.0,29:32.6,0 days 00:01:06.522486,0.76,0.3,0.81,0.9,0.27,0.28,0.36,0.59,0.98,0.61,0.71,0.71,0.34,COMPLETE
91,91,23.9007587,29:32.6,30:32.1,0 days 00:00:59.510079,0.52,0.43,0.85,0.94,0.61,0.15,0.24,0.54,0.16,0.55,0.71,0.62,0.42,COMPLETE
92,92,22.87683948,30:32.1,31:13.3,0 days 00:00:41.240864,0.81,0.32,0.93,0.88,0.21,0.35,0.19,0.66,0.2,0.72,0.78,0.57,0.3,COMPLETE
93,93,22.77451006,31:13.3,31:51.5,0 days 00:00:38.167942,0.8,0.32,0.89,0.88,0.2,0.35,0.18,0.66,0.12,0.78,0.82,0.57,0.37,COMPLETE
94,94,22.64652686,31:51.5,32:33.7,0 days 00:00:42.198437,0.81,0.35,0.94,0.93,0.21,0.35,0.19,0.65,0.12,0.8,0.96,0.57,0.31,COMPLETE
95,95,24.26777948,38:41.5,39:50.6,0 days 00:01:09.091026,0.77,0.36,0.98,0.98,0.18,0.31,0.25,0.63,0.12,0.98,0.96,0.6,0.52,COMPLETE
96,96,24.34344721,39:50.6,40:42.2,0 days 00:00:51.608352,0.73,0.4,0.9,0.94,0.09,0.19,0.12,0.7,0.05,0.89,0.98,0.73,0.47,COMPLETE
97,97,23.49616325,40:42.2,41:41.0,0 days 00:00:58.757982,0.94,0.23,0.94,0.92,0.15,0.25,0.47,0.66,0.82,0.79,0.95,0.54,0.37,COMPLETE
98,98,23.84226566,41:41.0,42:18.7,0 days 00:00:37.702970,0.8,0.35,0.87,0.99,0.12,0.26,0.05,0.59,0.28,0.84,0.91,0.82,0.26,COMPLETE
99,99,23.26967818,42:18.7,42:51.6,0 days 00:00:32.942030,0.85,0.28,0.84,0.8,0.23,0.36,0.28,0.61,0.13,0.77,0.86,0.49,0.45,COMPLETE
100,100,22.78117686,34:40.3,35:18.3,0 days 00:00:37.951588,0.97,0.29,0.88,0.89,0.19,0.33,0.14,0.56,0.16,0.86,0.89,0.57,0.32,COMPLETE
101,101,22.72029137,35:18.3,36:08.0,0 days 00:00:49.659181,0.69,0.28,0.88,0.9,0.19,0.32,0.18,0.56,0.16,0.86,0.88,0.63,0.31,COMPLETE
102,102,22.8071259,36:08.0,36:58.6,0 days 00:00:50.641460,0.68,0.25,0.89,0.9,0.2,0.32,0.15,0.63,0.16,0.9,0.87,0.56,0.31,COMPLETE
103,103,23.13018158,36:58.6,37:49.2,0 days 00:00:50.589079,0.64,0.07,0.89,0.93,0.15,0.33,0.07,0.55,0.19,0.87,0.88,0.57,0.31,COMPLETE
104,104,23.05177813,37:49.2,38:45.9,0 days 00:00:56.738320,0.69,0.25,0.87,0.86,0.19,0.32,0.14,0.65,0.22,0.92,0.94,0.53,0.34,COMPLETE
105,105,23.46436287,38:45.9,39:18.0,0 days 00:00:32.027661,0.53,0.18,0.95,0.9,0.21,0.28,0.03,0.68,0.24,0.87,0.98,0.64,0.31,COMPLETE
106,106,22.99794873,39:18.0,40:09.4,0 days 00:00:51.451810,0.59,0.38,0.9,0.85,0.16,0.3,0.18,0.75,0.11,0.93,0.9,0.57,0.27,COMPLETE
107,107,23.06292379,40:09.4,40:49.9,0 days 00:00:40.446600,0.62,0.21,0.98,0.96,0.05,0.37,0.15,0.71,0.16,0.85,0.87,0.51,0.41,COMPLETE
108,108,23.5195239,40:49.9,41:37.5,0 days 00:00:47.594224,0.58,0.33,0.83,0.82,0.11,0.45,0.09,0.6,0.09,0.81,0.91,0.68,0.23,COMPLETE
109,109,24.34717625,41:37.5,42:15.2,0 days 00:00:37.773535,0.86,0.41,0.94,0.24,0,0.42,0.11,0.56,0.08,0.77,0.81,0.62,0.35,COMPLETE
110,110,23.35727444,42:15.2,42:44.9,0 days 00:00:29.668221,0.46,0.28,0.91,0.88,0.09,0.34,0.17,0.48,0.26,0.89,0.97,0.55,0.28,COMPLETE
111,111,23.02926806,42:44.9,43:26.0,0 days 00:00:41.088017,0.7,0.31,0.85,0.89,0.27,0.24,0.22,0.63,0.16,0.72,0,0.65,0.39,COMPLETE
112,112,22.58879418,43:26.0,44:07.7,0 days 00:00:41.751242,0.74,0.24,0.81,0.95,0.24,0.27,0.26,0.62,0.15,0.85,0.89,0.58,0.32,COMPLETE
113,113,22.53005625,44:07.7,44:51.4,0 days 00:00:43.647000,0.67,0.24,0.88,1,0.25,0.32,0.26,0.53,0.14,0.94,0.89,0.58,0.33,COMPLETE
114,114,22.56772944,44:51.4,45:25.0,0 days 00:00:33.577166,0.75,0.23,0.81,0.98,0.25,0.28,0.26,0.54,0.12,0.94,1,0.59,0.33,COMPLETE
115,115,35.02795069,45:25.0,45:57.3,0 days 00:00:32.367972,0.66,0.14,0.77,0.98,0.24,0.29,0.3,0.54,0.11,0.79,1,0.59,0.82,COMPLETE
116,116,22.98890596,45:57.3,46:50.3,0 days 00:00:52.919164,0.74,0.17,0.77,1,0.32,0.2,0.26,0.52,0.18,0.96,0.95,0.62,0.35,COMPLETE
117,117,22.51031864,46:50.3,47:26.8,0 days 00:00:36.538264,0.72,0.22,0.82,0.94,0.3,0.36,0.23,0.46,0.13,1,0.93,0.52,0.25,COMPLETE
118,118,22.73920443,47:26.8,48:16.0,0 days 00:00:49.222238,0.72,0.26,0.8,0.95,0.25,0.39,0.24,0.49,0.21,0.98,0.92,0.53,0.26,COMPLETE
119,119,23.10452699,48:16.0,49:08.5,0 days 00:00:52.454516,0.72,0.22,0.8,0.95,0.29,0.22,0.24,0.45,0.23,0.98,0.93,0.5,0.26,COMPLETE
120,120,22.67249994,49:08.5,49:49.6,0 days 00:00:41.095592,0.75,0.24,0.82,1,0.35,0.39,0.23,0.47,0.19,0.95,0.98,0.53,0.29,COMPLETE
121,121,22.74024792,49:49.6,50:29.9,0 days 00:00:40.304285,0.75,0.24,0.75,1,0.34,0.38,0.22,0.46,0.21,0.95,0.99,0.53,0.25,COMPLETE
122,122,22.5301743,50:29.9,51:07.2,0 days 00:00:37.326413,0.7,0.21,0.7,0.97,0.36,0.41,0.31,0.49,0.19,1,0.96,0.45,0.29,COMPLETE
123,123,22.49233544,51:07.2,51:43.7,0 days 00:00:36.461837,0.65,0.2,0.67,0.97,0.38,0.48,0.31,0.43,0.14,0.93,0.96,0.45,0.29,COMPLETE
124,124,22.47891102,51:43.7,52:24.9,0 days 00:00:41.222438,0.66,0.2,0.69,0.97,0.44,0.48,0.35,0.39,0.14,1,0.96,0.45,0.28,COMPLETE
125,125,22.39181552,52:24.9,53:18.4,0 days 00:00:53.533911,0.63,0.12,0.63,0.97,0.47,0.42,0.31,0.34,0.14,1,0.96,0.45,0.23,COMPLETE
126,126,23.16487237,53:18.4,54:00.0,0 days 00:00:41.562971,0.63,0.08,0.69,0.97,0.43,0.52,0.31,0.29,0.04,1,0.96,0.43,0.22,COMPLETE
127,127,22.66217707,54:00.0,54:40.2,0 days 00:00:40.167444,0.66,0.2,0.65,0.98,0.38,0.41,0.35,0.34,0.07,0.95,0.98,0.44,0.29,COMPLETE
128,128,22.76556258,54:40.2,55:30.7,0 days 00:00:50.477151,0.67,0.12,0.63,0.98,0.46,0.41,0.35,0.32,0.07,0.95,1,0.45,0.29,COMPLETE
129,129,22.54403589,55:30.7,56:08.8,0 days 00:00:38.175773,0.66,0.2,0.64,1,0.38,0.47,0.33,0.35,0.09,1,0.98,0.41,0.23,COMPLETE
130,130,22.53927975,56:08.8,56:47.7,0 days 00:00:38.872325,0.66,0.2,0.67,1,0.38,0.48,0.34,0.39,0.09,0.93,0.97,0.37,0.23,COMPLETE
131,131,23.22858836,56:47.7,57:17.1,0 days 00:00:29.428325,0.57,0.2,0.66,1,0.39,0.47,0.34,0.34,0.02,1,0.97,0.37,0.23,COMPLETE
